"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","down_in_daf.16_SVIP"
"WBGene00000136",649.231589024469,0.940050760523921,0.0871101260014788,10.7915210742315,3.77489276785735e-27,1.26119827530242e-26,TRUE,FALSE
"WBGene00000137",406.166516757128,1.31824724515576,0.112490847191066,11.7187067043482,1.0222058516731e-31,3.63787569397294e-31,TRUE,FALSE
"WBGene00000138",92.7149906153373,-1.62782370256625,0.215096643818571,-7.56787123066075,3.79389772925954e-14,9.81277055758637e-14,TRUE,TRUE
"WBGene00000139",158.840022113426,1.1345591017768,0.157644429662558,7.19695015044523,6.15742609911238e-13,1.53953967249074e-12,TRUE,FALSE
"WBGene00000140",504.084436161023,-2.16508848899551,0.112848439236776,-19.1858080061947,4.86322855123805e-82,2.7659201083699e-81,TRUE,TRUE
"WBGene00000142",9020.76541183873,0.437097140926786,0.0329107282651728,13.2812965244934,2.97203212444678e-40,1.17290619897181e-39,TRUE,FALSE
"WBGene00000143",5577.12600225893,1.07439719064152,0.039143304592402,27.4477896495757,7.38275699540036e-166,7.60532540482052e-165,TRUE,FALSE
"WBGene00000144",915.324580917085,-0.186575245645578,0.0723312227907874,-2.57945653960852,0.00989559094064602,0.0156357777156147,TRUE,TRUE
"WBGene00000145",1447.01463134046,0.600920577699225,0.0654453073794518,9.18202697429608,4.23051828041043e-20,1.25571104043539e-19,TRUE,FALSE
"WBGene00000146",4113.24347373017,0.286944779733241,0.0420387727373355,6.82571733304668,8.74870431711082e-12,2.12548001415126e-11,TRUE,FALSE
"WBGene00000147",1314.69579870294,0.496209079506484,0.0599076628574525,8.28289831114244,1.20213067511984e-16,3.28301184374834e-16,TRUE,FALSE
"WBGene00000148",3692.11720313802,1.22621713354243,0.0417528906177961,29.368436900984,1.38981636223916e-189,1.66897090585463e-188,TRUE,FALSE
